Abbrev,Lat,Long,Name,Depressed,Average
AL,32.6010112,-86.6807365,Alabama,233,2-3
AK,64.3025006,-152.7750198,Alaska,150,0-1
AZ,34.1682185,-111.930907,Arizona,360,4-5
AR,34.7519275,-92.1313784,Arkansas,150,0-1
CA,37.2718745,-119.2704153,California,307,3-4
CO,38.9979339,-105.550567,Colorado,500,7-8
CT,41.5187835,-72.757507,Connecticut,450,6-7
DE,39.145251,-75.4189206,Delaware,420,6-7
DC,38.8993487,-77.0145666,District of Columbia,0,0
FL,28.9757279,-81.8330166,Florida,300,3-4
GA,32.6781248,-83.2229757,Georgia,400,5-6
HI,20.46,-157.505,Hawaii,300,3-4
ID,44.4945756,-114.1424303,Idaho,450,6-7
IL,39.739318,-89.504139,Illinois,400,5-6
IN,39.7662195,-86.441277,Indiana,256,2-3
IA,41.9383166,-93.389798,Iowa,160,1-2
KS,38.4987789,-98.3200779,Kansas,500,7-8
KY,37.8222935,-85.7682399,Kentucky,533,8-9
LA,30.9733766,-91.4299097,Louisiana,360,4-5
ME,45.2185133,-69.0148656,Maine,700,11+
MD,38.8063524,-77.2684162,Maryland,242,2-3
MA,42.0629398,-71.718067,Massachusetts,406,6-7
MI,44.9435598,-86.4158049,Michigan,415,6-7
MN,46.4418595,-93.3655146,Minnesota,367,4-5
MS,32.5851062,-89.8772196,Mississippi,500,7-8
MO,38.3046615,-92.437099,Missouri,440,6-7
MT,46.6797995,-110.044783,Montana,600,9-10
NE,41.5008195,-99.680902,Nebraska,700,11+
NV,38.502032,-117.0230604,Nevada,300,3-4
NH,44.0012306,-71.5799231,New Hampshire,300,3-4
NJ,40.1430058,-74.7311156,New Jersey,431,6-7
NM,34.1662325,-106.0260685,New Mexico,100,0-1
NY,42.7056258,-74.97968,New York,347,4-5
NC,35.2145629,-79.8912675,North Carolina,306,3-4
ND,47.4678819,-100.3022655,North Dakota,250,2-3
OH,40.1903624,-82.6692525,Ohio,387,4-5
OK,35.3097654,-97.7165585,Oklahoma,260,2-3
OR,44.1419049,-120.5380993,Oregon,360,4-5
PA,40.9945928,-77.6046984,Pennsylvania,312,3-4
RI,41.5827282,-71.5064508,Rhode Island,650,10-11
SC,33.62505,-80.9470381,South Carolina,300,3-4
SD,44.2126995,-100.2471641,South Dakota,700,11+
TN,35.830521,-85.9785989,Tennessee,289,3-4
TX,31.1693363,-99.0768425,Texas,316,3-4
UT,39.4997605,-111.547028,Utah,360,4-5
VT,43.8717545,-72.4477828,Vermont,0,NA
VA,38.0033855,-79.4587861,Virginia,429,6-7
WA,47.4,-120.49,Washington,300,3-4
WV,38.9201705,-80.1816905,West Virginia,340,4-5
WI,44.7862968,-89.8267049,Wisconsin,388,5-6
WY,43.000325,-107.5545669,Wyoming,0,NA
